               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063733,             0.19986,            0.027697,             0.57065,             0.41845,             0.46535,                0.26,             0.06201,             0.12349,            0.020847,              0.0937,              0.0007,              0.0007
                   1,            0.064024,             0.18864,            0.029103,             0.59742,             0.43094,             0.48397,             0.26624,            0.061608,             0.12314,            0.020406,            0.086005,            0.001005,            0.001005
                   2,            0.065023,             0.21426,            0.029118,             0.61265,             0.44984,             0.48778,             0.26836,            0.061279,             0.12243,            0.019787,            0.077782,            0.000782,            0.000782
