               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053614,            0.032916,            0.037307,             0.61529,             0.67952,              0.6645,             0.40249,            0.038886,             0.01573,            0.013006,            0.070034,           0.0033296,           0.0033296
                   1,            0.039512,            0.027494,            0.014294,             0.67059,             0.72236,             0.73256,             0.49358,            0.034464,            0.015524,           0.0089648,            0.036736,           0.0033648,           0.0033648
